Source IP,Destination IP,Protocol,Source Port,Destination Port,Length
192.168.0.116,142.251.155.4,TCP,41936,443,140
192.168.0.116,142.251.155.4,TCP,41936,443,158
192.168.0.116,142.251.155.4,TCP,41936,443,2516
142.251.155.4,192.168.0.116,TCP,443,41936,1026
192.168.0.116,142.251.155.4,TCP,41936,443,66
142.251.155.4,192.168.0.116,TCP,443,41936,1466
142.251.155.4,192.168.0.116,TCP,443,41936,1466
142.251.155.4,192.168.0.116,TCP,443,41936,1466
142.251.155.4,192.168.0.116,TCP,443,41936,66
142.251.155.4,192.168.0.116,TCP,443,41936,66
142.251.155.4,192.168.0.116,TCP,443,41936,66
142.251.155.4,192.168.0.116,TCP,443,41936,66
142.251.155.4,192.168.0.116,TCP,443,41936,66
142.251.155.4,192.168.0.116,TCP,443,41936,432
142.251.155.4,192.168.0.116,TCP,443,41936,5666
142.251.155.4,192.168.0.116,TCP,443,41936,2866
142.251.155.4,192.168.0.116,TCP,443,41936,11266
192.178.193.94,192.168.0.116,TCP,443,60010,192
192.178.193.94,192.168.0.116,TCP,443,60010,1466
142.251.155.4,192.168.0.116,TCP,443,41936,137
142.251.155.4,192.168.0.116,TCP,443,41936,5756
142.251.155.4,192.168.0.116,TCP,443,41936,9665
192.168.0.116,142.251.155.4,TCP,41936,443,66
192.168.0.116,142.251.155.4,TCP,41936,443,66
142.251.155.4,192.168.0.116,TCP,443,41936,9866
142.251.155.4,192.168.0.116,TCP,443,41936,862
192.168.0.116,142.251.155.4,TCP,41936,443,66
142.251.155.4,192.168.0.116,TCP,443,41936,2368
142.251.155.4,192.168.0.116,TCP,443,41936,3059
142.251.155.4,192.168.0.116,TCP,443,41936,155
142.251.155.4,192.168.0.116,TCP,443,41936,4685
192.168.0.116,142.251.155.4,TCP,41936,443,66
192.168.0.116,142.251.155.4,TCP,41936,443,66
192.168.0.116,142.251.155.4,TCP,41936,443,66
142.251.155.4,192.168.0.116,TCP,443,41936,3014
192.168.0.116,142.251.155.4,TCP,41936,443,66
142.251.155.4,192.168.0.116,TCP,443,41936,8466
192.168.0.116,216.239.36.223,TCP,57196,443,74
216.239.36.223,192.168.0.116,TCP,443,57196,74
192.168.0.116,216.239.36.223,TCP,57196,443,66
192.168.0.116,216.239.36.223,TCP,57196,443,1909
216.239.36.223,192.168.0.116,TCP,443,57196,66
216.239.36.223,192.168.0.116,TCP,443,57196,1466
192.168.0.116,216.239.36.223,TCP,57196,443,66
216.239.36.223,192.168.0.116,TCP,443,57196,1466
192.168.0.116,216.239.36.223,TCP,57196,443,66
216.239.36.223,192.168.0.116,TCP,443,57196,1466
192.168.0.116,216.239.36.223,TCP,57196,443,66
216.239.36.223,192.168.0.116,TCP,443,57196,1643
192.168.0.116,216.239.36.223,TCP,57196,443,66
192.168.0.116,216.239.36.223,TCP,57196,443,156
